[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,410] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,411] INFO: Starting test_min_gradient_with_no_grad_enabled
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
